rStar,theta,re,im
36.6958,0.772235,5.57593e+235,2.49316e+234
36.6958,0.789786,1.36645e+235,6.10977e+233
36.6958,0.807337,3.34856e+234,1.49724e+233
36.6958,0.824887,8.20569e+233,3.669e+232
36.6958,0.842438,2.01078e+233,8.99076e+231
36.6958,0.859989,4.92725e+232,2.20312e+231
36.6958,0.87754,1.20737e+232,5.39849e+230
36.6958,0.895091,2.95847e+231,1.32282e+230
36.6958,0.912641,7.24917e+230,3.24131e+229
36.6958,0.930192,1.77625e+230,7.94212e+228
36.6958,0.947743,4.35225e+229,1.94602e+228
36.6958,0.965294,1.0664e+229,4.76817e+227
36.6958,0.982845,2.61287e+228,1.16829e+227
36.6958,1.0004,6.40198e+227,2.86251e+226
36.6958,1.01795,1.56857e+227,7.01355e+225
36.6958,1.0355,3.8432e+226,1.7184e+225
36.6958,1.05305,9.4162e+225,4.21026e+224
36.6958,1.0706,2.30704e+225,1.03155e+224
36.6958,1.08815,5.65239e+224,2.52735e+223
36.6958,1.1057,1.38486e+224,6.1921e+222
36.6958,1.12325,3.39294e+223,1.51708e+222
36.6958,1.1408,8.31272e+222,3.71686e+221
36.6958,1.15835,2.03661e+222,9.10628e+220
36.6958,1.1759,4.98965e+221,2.23102e+220
36.6958,1.19345,1.22245e+221,5.46592e+219
36.6958,1.211,2.99494e+220,1.33913e+219
36.6958,1.22856,7.33744e+219,3.28078e+218
36.6958,1.24611,1.79762e+219,8.03769e+217
36.6958,1.26366,4.40404e+218,1.96917e+217
36.6958,1.28121,1.07895e+218,4.8243e+216
36.6958,1.29876,2.64332e+217,1.18191e+216
36.6958,1.31631,6.47587e+216,2.89555e+215
36.6958,1.33386,1.58652e+216,7.09378e+214
36.6958,1.35141,3.88678e+215,1.73789e+214
36.6958,1.36896,9.52213e+214,4.25762e+213
36.6958,1.38651,2.3328e+214,1.04306e+213
36.6958,1.40406,5.71504e+213,2.55536e+212
36.6958,1.42161,1.40011e+213,6.26028e+211
36.6958,1.43917,3.43006e+212,1.53368e+211
36.6958,1.45672,8.40314e+211,3.75729e+210
36.6958,1.47427,2.05865e+211,9.2048e+209
36.6958,1.49182,5.04338e+210,2.25504e+209
36.6958,1.50937,1.23561e+210,5.52478e+208
36.6958,1.52692,3.02957e+209,1.35461e+208
36.6958,1.54447,7.52447e+208,3.36441e+207
36.6958,1.56202,2.26172e+208,1.01128e+207
36.6958,1.57957,2.26172e+208,1.01128e+207
36.6958,1.59712,7.52447e+208,3.36441e+207
36.6958,1.61467,3.02957e+209,1.35461e+208
36.6958,1.63222,1.23561e+210,5.52479e+208
36.6958,1.64977,5.04338e+210,2.25504e+209
36.6958,1.66733,2.05865e+211,9.2048e+209
36.6958,1.68488,8.40314e+211,3.75729e+210
36.6958,1.70243,3.43006e+212,1.53368e+211
36.6958,1.71998,1.40011e+213,6.26028e+211
36.6958,1.73753,5.71504e+213,2.55536e+212
36.6958,1.75508,2.3328e+214,1.04306e+213
36.6958,1.77263,9.52213e+214,4.25762e+213
36.6958,1.79018,3.88678e+215,1.73789e+214
36.6958,1.80773,1.58652e+216,7.09378e+214
36.6958,1.82528,6.47587e+216,2.89555e+215
36.6958,1.84283,2.64332e+217,1.18191e+216
36.6958,1.86038,1.07895e+218,4.8243e+216
36.6958,1.87794,4.40404e+218,1.96917e+217
36.6958,1.89549,1.79762e+219,8.03769e+217
36.6958,1.91304,7.33744e+219,3.28078e+218
36.6958,1.93059,2.99494e+220,1.33913e+219
36.6958,1.94814,1.22245e+221,5.46592e+219
36.6958,1.96569,4.98965e+221,2.23102e+220
36.6958,1.98324,2.03661e+222,9.10628e+220
36.6958,2.00079,8.31272e+222,3.71686e+221
36.6958,2.01834,3.39294e+223,1.51708e+222
36.6958,2.03589,1.38486e+224,6.1921e+222
36.6958,2.05344,5.65239e+224,2.52735e+223
36.6958,2.07099,2.30704e+225,1.03155e+224
36.6958,2.08854,9.4162e+225,4.21026e+224
36.6958,2.1061,3.8432e+226,1.7184e+225
36.6958,2.12365,1.56857e+227,7.01355e+225
36.6958,2.1412,6.40198e+227,2.86251e+226
36.6958,2.15875,2.61287e+228,1.16829e+227
36.6958,2.1763,1.0664e+229,4.76817e+227
36.6958,2.19385,4.35225e+229,1.94602e+228
36.6958,2.2114,1.77625e+230,7.94212e+228
36.6958,2.22895,7.24917e+230,3.24131e+229
36.6958,2.2465,2.95847e+231,1.32282e+230
36.6958,2.26405,1.20737e+232,5.39849e+230
36.6958,2.2816,4.92725e+232,2.20312e+231
36.6958,2.29915,2.01078e+233,8.99076e+231
36.6958,2.31671,8.20569e+233,3.669e+232
36.6958,2.33426,3.34856e+234,1.49724e+233
36.6958,2.35181,1.36645e+235,6.10977e+233
36.6958,2.36936,5.57593e+235,2.49316e+234
36.6958,2.38691,2.27527e+236,1.01734e+235
36.6958,2.40446,9.28405e+236,4.15117e+235
36.6958,2.42201,3.78818e+237,1.6938e+236
36.6958,2.43956,1.54565e+238,6.91105e+236
36.6958,2.45711,6.30636e+238,2.81976e+237
36.6958,2.47466,2.57295e+239,1.15044e+238
36.6958,2.49221,1.04971e+240,4.69356e+238
36.6958,2.50976,4.28243e+240,1.9148e+239
36.6958,2.52731,1.747e+241,7.81134e+239
36.6958,2.54487,7.12648e+241,3.18646e+240
36.6958,2.56242,2.90694e+242,1.29978e+241
36.6958,2.57997,1.18569e+243,5.30158e+241
36.6958,2.59752,4.83597e+243,2.1623e+242
36.6958,2.61507,1.97227e+244,8.81858e+242
36.6958,2.63262,8.04297e+244,3.59625e+243
36.6958,2.65017,3.27969e+245,1.46644e+244
36.6958,2.66772,1.33724e+246,5.97919e+244
36.6958,2.68527,5.45184e+246,2.43768e+245
36.6958,2.70282,2.22243e+247,9.93714e+245
36.6958,2.72037,9.05858e+247,4.05035e+246
36.6958,2.73792,3.69173e+248,1.65068e+247
36.6958,2.75548,1.50429e+249,6.72611e+247
36.6958,2.77303,6.12848e+249,2.74022e+248
36.6958,2.79058,2.49623e+250,1.11614e+249
36.6958,2.80813,1.01651e+251,4.5451e+249
36.6958,2.82568,4.13825e+251,1.85033e+250
36.6958,2.84323,1.68415e+252,7.5303e+250
36.6958,2.86078,6.85133e+252,3.06343e+251
36.6958,2.87833,2.78593e+253,1.24567e+252
36.6958,2.89588,1.1322e+254,5.06238e+252
36.6958,2.91343,4.5981e+254,2.05594e+253
36.6958,2.93098,1.86582e+255,8.3426e+253
36.6958,2.94853,7.56304e+255,3.38166e+254
36.6958,2.96608,3.06147e+256,1.36887e+255
36.6958,2.98364,1.23704e+257,5.53115e+255
36.6958,3.00119,4.98628e+257,2.22951e+256
36.6958,3.01874,2.00304e+258,8.95619e+256
36.6958,3.03629,8.00643e+258,3.57991e+257
36.6958,3.05384,3.17568e+259,1.41994e+258
36.6958,3.07139,1.24346e+260,5.55988e+258
36.6958,3.08894,4.75289e+260,2.12516e+259
36.6958,3.10649,1.72132e+261,7.69653e+259
36.6958,3.12404,5.25276e+261,2.34866e+260
36.6958,3.14159,0,0
39.2013,0,0,0
39.2013,0.0175508,1.87717e+268,8.39129e+266
39.2013,0.0351016,6.15148e+267,2.74982e+266
39.2013,0.0526524,1.69854e+267,7.59276e+265
39.2013,0.0702032,4.44375e+266,1.98643e+265
39.2013,0.087754,1.13489e+266,5.07315e+264
39.2013,0.105305,2.86125e+265,1.27903e+264
39.2013,0.122856,7.15827e+264,3.19987e+263
39.2013,0.140406,1.78194e+264,7.96559e+262
39.2013,0.157957,4.42079e+263,1.97617e+262
39.2013,0.175508,1.09408e+263,4.89071e+261
39.2013,0.193059,2.7028e+262,1.2082e+261
39.2013,0.21061,6.66785e+261,2.98064e+260
39.2013,0.22816,1.64322e+261,7.34548e+259
39.2013,0.245711,4.04613e+260,1.80869e+259
39.2013,0.263262,9.95604e+259,4.45052e+258
39.2013,0.280813,2.44846e+259,1.0945e+258
39.2013,0.298364,6.01862e+258,2.69043e+257
39.2013,0.315914,1.47888e+258,6.61086e+256
39.2013,0.333465,3.63269e+257,1.62387e+256
39.2013,0.351016,8.92075e+256,3.98773e+255
39.2013,0.368567,2.19013e+256,9.79026e+254
39.2013,0.386118,5.37586e+255,2.4031e+254
39.2013,0.403668,1.31931e+255,5.89755e+253
39.2013,0.421219,3.23726e+254,1.44711e+253
39.2013,0.43877,7.94229e+253,3.55034e+252
39.2013,0.456321,1.94832e+253,8.70932e+251
39.2013,0.473872,4.77889e+252,2.13624e+251
39.2013,0.491422,1.17206e+252,5.23931e+250
39.2013,0.508973,2.87431e+251,1.28487e+250
39.2013,0.526524,7.04828e+250,3.1507e+249
39.2013,0.544075,1.72823e+250,7.72547e+248
39.2013,0.561626,4.23731e+249,1.89415e+248
39.2013,0.579176,1.03885e+249,4.64384e+247
39.2013,0.596727,2.54679e+248,1.13846e+247
39.2013,0.614278,6.24324e+247,2.79083e+246
39.2013,0.631829,1.53041e+247,6.84119e+245
39.2013,0.649379,3.75134e+246,1.67691e+245
39.2013,0.66693,9.19495e+245,4.1103e+244
39.2013,0.684481,2.2537e+245,1.00744e+244
39.2013,0.702032,5.52368e+244,2.46918e+243
39.2013,0.719583,1.35378e+244,6.05162e+242
39.2013,0.737133,3.31783e+243,1.48313e+242
39.2013,0.754684,8.13112e+242,3.63475e+241
39.2013,0.772235,1.99267e+242,8.90756e+240
39.2013,0.789786,4.88326e+241,2.1829e+240
39.2013,0.807337,1.19667e+241,5.34933e+239
39.2013,0.824887,2.93246e+240,1.31086e+239
39.2013,0.842438,7.1859e+239,3.21222e+238
39.2013,0.859989,1.76085e+239,7.8713e+237
39.2013,0.87754,4.31476e+238,1.92877e+237
39.2013,0.895091,1.05727e+238,4.72616e+236
39.2013,0.912641,2.59063e+237,1.15806e+236
39.2013,0.930192,6.34777e+236,2.83756e+235
39.2013,0.947743,1.55536e+236,6.95273e+234
39.2013,0.965294,3.81097e+235,1.70357e+234
39.2013,0.982845,9.33761e+234,4.17407e+233
39.2013,1.0004,2.28787e+234,1.02272e+233
39.2013,1.01795,5.60561e+233,2.5058e+232
39.2013,1.0355,1.37344e+233,6.13951e+231
39.2013,1.05305,3.36506e+232,1.50424e+231
39.2013,1.0706,8.24466e+231,3.6855e+230
39.2013,1.08815,2.01999e+231,9.0297e+229
39.2013,1.1057,4.94906e+230,2.21231e+229
39.2013,1.12325,1.21253e+230,5.42022e+228
39.2013,1.1408,2.97071e+229,1.32796e+228
39.2013,1.15835,7.27822e+228,3.25349e+227
